"poissons","nombres"
"Tailor",22
"Bream Black",14
"Pink Snapper",12
"Whiting",11
"Flathead",10
"Dhufish",8
"Marlin",8
"Barramundi",7
"Giant Trevally",6
"Herring",6
"Salmon",6
"King George Whiting",5
"Samson",5
"Tuna",5
"Cobia",4
"Mulloway",4
"Sailfish",4
"Squid",4
"Mangrove Jack",3
"Redfin",3
"Spanish Mackerel",3
"Mackerel",2
"Mahi Mahi",2
"Queen",2
"Redfish",2
"Rig",2
"Trout",2
"Black Jew",1
"Blue Marlin",1
"Cod",1
"Crab",1
"Manta Ray",1
"Marron",1
"Mud Crabs",1
"Octopus",1
"Oyster",1
"Perth Herring",1
"Shark",1
"Trevally",1
